Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
IM;ATG;Antithymozytenglobulin;ATG, Grafalon, Thymoglobuline, Anitlymphozytäres Immunglobulin, Antithymozytäres Immunglobulin;nein;Supportiv;Antikörper (supportiv);L04AA03, L04AA04
IM;Grafalon;Antithymozytenglobulin;ATG, Grafalon, Thymoglobuline, Anitlymphozytäres Immunglobulin, Antithymozytäres Immunglobulin;nein;Supportiv;Antikörper (supportiv);L04AA03, L04AA04
IM;Thymoglobuline;Antithymozytenglobulin;ATG, Grafalon, Thymoglobuline, Anitlymphozytäres Immunglobulin, Antithymozytäres Immunglobulin;nein;Supportiv;Antikörper (supportiv);L04AA03, L04AA04
HO;Apalutamid;Apalutamid;Erleada;ja;Endokrine Therapie;Antiandrogen;L02BB05 
HO;Erleada;Apalutamid;Erleada;ja;Endokrine Therapie;Antiandrogen;L02BB05 
HO;Aromatasehemmer;Aromatasehemmer;;ja;Endokrine Therapie;Aromatasehemmer;
CH;Arsentrioxid;Arsentrioxid;Trisenox;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX27
CH;Trisenox;Arsentrioxid;Trisenox;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX27
SO;Artesunat;Artesunat;;ja;Zytostatikum;;P01BE03
ZS;Asciminib;Asciminib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
CH;Asparaginase;Asparaginase;Spectrila, L-ASP;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX02 
CH;L-ASP;Asparaginase;Spectrila, L-ASP;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX02 
CH;Spectrila;Asparaginase;Spectrila, L-ASP;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX02 
IM;Atezolizumab;Atezolizumab;Tecentriq;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC32
IM;Tecentriq;Atezolizumab;Tecentriq;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC32
SO;Atropin;Atropin;Atropinsulfat, Dysurgal, Atropinum;nein;Supportiv;Sonstiges Supportivum;V03AB44
SO;Atropinsulfat;Atropin;Atropinsulfat, Dysurgal, Atropinum;nein;Supportiv;Sonstiges Supportivum;V03AB44
SO;Atropinum;Atropin;Atropinsulfat, Dysurgal, Atropinum;nein;Supportiv;Sonstiges Supportivum;V03AB44
SO;Dysurgal;Atropin;Atropinsulfat, Dysurgal, Atropinum;nein;Supportiv;Sonstiges Supportivum;V03AB44
SZ;Autologe Stammzellen;Autologe Stammzellen;;ja;zelluläre Therapie;zelluläre Therapie;
ZS;Avapritinib;Avapritinib;Ayvakyt;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX18
ZS;Ayvakyt;Avapritinib;Ayvakyt;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX18
IM;Avelumab;Avelumab;Bavencio;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC31
IM;Bavencio;Avelumab;Bavencio;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC31
IM;Axicabtagen-Ciloleucel;Axicabtagen-Ciloleucel;Yescarta;ja;zelluläre Therapie;zelluläre Therapie;
IM;Yescarta;Axicabtagen-Ciloleucel;Yescarta;ja;zelluläre Therapie;zelluläre Therapie;
ZS;Axitinib;Axitinib;Inlyta;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE17 
ZS;Inlyta;Axitinib;Inlyta;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE17 
CH;Azacitidin;Azacitidin;Vidaza;ja;Zytostatikum;Antimetabolit;L01BC07
CH;Vidaza;Azacitidin;Vidaza;ja;Zytostatikum;Antimetabolit;L01BC07
IM;Azathioprin;Azathioprin;Imurek;nein;Supportiv;Sonstiges Supportivum;L04AX01 
IM;Imurek;Azathioprin;Imurek;nein;Supportiv;Sonstiges Supportivum;L04AX01 
IM;Basiliximab;Basiliximab;Simulect;nein;Supportiv (GVHD);Antikörper (supportiv);L04AC02
IM;Simulect;Basiliximab;Simulect;nein;Supportiv (GVHD);Antikörper (supportiv);L04AC02
IM;Bacillus Calmette-Guérin;BCG;OncoTice, Bacillus Calmette-Guérin;ja;Immunmodulator;sonstiges Immunstimulanz;L03AX03
IM;BCG;BCG;OncoTice, Bacillus Calmette-Guérin;ja;Immunmodulator;sonstiges Immunstimulanz;L03AX03
IM;OncoTice;BCG;OncoTice, Bacillus Calmette-Guérin;ja;Immunmodulator;sonstiges Immunstimulanz;L03AX03
IM;Belantamab mafodotin;Belantamab mafodotin;Blenrep;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC39
IM;Blenrep;Belantamab mafodotin;Blenrep;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC39
IM;Belatacept;Belatacept;Nulojix;nein;Supportiv;Sonstiges Supportivum;L04AA28
IM;Nulojix;Belatacept;Nulojix;nein;Supportiv;Sonstiges Supportivum;L04AA28
IM;Belimumab;Belimumab;Benylsta;ja;Immunmodulator;sonstiges Immunstimulanz;L04AA26
IM;Benylsta;Belimumab;Benylsta;ja;Immunmodulator;sonstiges Immunstimulanz;L04AA26
ZS;Beleodaq;Belinostat;Beleodaq;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX49 
ZS;Belinostat;Belinostat;Beleodaq;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX49 
IM;Bemarituzumab;Bemarituzumab;;ja;Anderes antineoplastisches Mittel;Antikörper;
ZS;Bemcentinib;Bemcentinib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
CH;Bendamustin;Bendamustin;Levact, Ribomustin;ja;Zytostatikum;Alkylanz;L01AA09
CH;Levact;Bendamustin;Levact, Ribomustin;ja;Zytostatikum;Alkylanz;L01AA09
CH;Ribomustin;Bendamustin;Levact, Ribomustin;ja;Zytostatikum;Alkylanz;L01AA09
IM;Avastin;Bevacizumab;Avastin;ja;Anderes antineoplastisches Mittel;Antikörper, Proteinkinase-Inhibitor;L01XC07
IM;Bevacizumab;Bevacizumab;Avastin;ja;Anderes antineoplastisches Mittel;Antikörper, Proteinkinase-Inhibitor;L01XC07
SO;Bexaroten;Bexaroten;Targretin;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX25
SO;Targretin;Bexaroten;Targretin;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;L01XX25
HO;Bicalutamid;Bicalutamid;Casodex;ja;Endokrine Therapie;Antiandrogen;L02BB03
HO;Casodex;Bicalutamid;Casodex;ja;Endokrine Therapie;Antiandrogen;L02BB03
ZS;Binimetinib;Binimetinib;Mektovi;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE41
ZS;Mektovi;Binimetinib;Mektovi;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE41
CH;Bleomedac;Bleomycin;Bleomedac;ja;Zytostatikum;Anthrazyklin;L01DC01
CH;Bleomycin;Bleomycin;Bleomedac;ja;Zytostatikum;Anthrazyklin;L01DC01
IM;Blinatumomab;Blinatumomab;BLINCYTO;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC19
IM;BLINCYTO;Blinatumomab;BLINCYTO;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC19
ZS;Bortezomib;Bortezomib;Velcade;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX32
ZS;Velcade;Bortezomib;Velcade;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX32
ZS;Bosulif;Bosutinib;Bosulif;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE14
ZS;Bosutinib;Bosutinib;Bosulif;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE14
IM;Adcetris;Brentuximab vedotin;Adcetris;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC12
IM;Brentuximab vedotin;Brentuximab vedotin;Adcetris;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC12
IM;Briakinumab;Briakinumab;;nein;Nicht supportiv;Interleukin-Antikörper;L04AC09
ZS;Alunbrig;Brigatinib;Alunbrig;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE43
ZS;Brigatinib;Brigatinib;Alunbrig;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE43
HO;Bromocriptin;Bromocriptin;;ja;Endokrine Therapie;Sonstige endokrine Therapie;G02CB01
HO;Buserelin;Buserelin;Profact;ja;Endokrine Therapie;GnRH-Analogon;L02AE01
HO;Profact;Buserelin;Profact;ja;Endokrine Therapie;GnRH-Analogon;L02AE01
CH;Busulfan;Busulfan;Myleran;ja;Zytostatikum;Alkylanz;L01AB01
CH;Myleran;Busulfan;Myleran;ja;Zytostatikum;Alkylanz;L01AB01
CH;Cabazitaxel;Cabazitaxel;JEVTANA;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD04
CH;JEVTANA;Cabazitaxel;JEVTANA;ja;Zytostatikum;Mitosespindelgift (Taxan);L01CD04
HO;Cabergolin;Cabergolin;;ja;Endokrine Therapie;Sonstige endokrine Therapie;G02CB03
ZS;Cabozantinib;Cabozantinib;Cometriq;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE26
ZS;Cometriq;Cabozantinib;Cometriq;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE26
SO;Calciumlevofolinat;Calciumlevofolinat;Levoleucovorin;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF04
SO;Levoleucovorin;Calciumlevofolinat;Levoleucovorin;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF04
CH;Camptothecin;Camptothecin;;ja;Zytostatikum;Topoisom.-Inhibitor;
IM;Canakinumab;Canakinumab;Ilaris;ja;Immunmodulator;Interleukin-Antikörper;L04AC08
IM;Ilaris;Canakinumab;Ilaris;ja;Immunmodulator;Interleukin-Antikörper;L04AC08
CH;Capecitabin;Capecitabin;Xeloda, Capezitabine;ja;Zytostatikum;Antimetabolit;L01BC06
CH;Capezitabine;Capecitabin;Xeloda, Capezitabine;ja;Zytostatikum;Antimetabolit;L01BC06
CH;Xeloda;Capecitabin;Xeloda, Capezitabine;ja;Zytostatikum;Antimetabolit;L01BC06
ZS;Capmatinib;Capmatinib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
CH;Carboplatin;Carboplatin;Carboplatin Cancernova, Ribocarbo, Haemato-carb;ja;Zytostatikum;Platin-haltige Verbindung;L01XA02
CH;Carboplatin Cancernova;Carboplatin;Carboplatin Cancernova, Ribocarbo, Haemato-carb;ja;Zytostatikum;Platin-haltige Verbindung;L01XA02
CH;Haemato-carb;Carboplatin;Carboplatin Cancernova, Ribocarbo, Haemato-carb;ja;Zytostatikum;Platin-haltige Verbindung;L01XA02
CH;Ribocarbo;Carboplatin;Carboplatin Cancernova, Ribocarbo, Haemato-carb;ja;Zytostatikum;Platin-haltige Verbindung;L01XA02
CH;Carboquon;Carboquon;;ja;Zytostatikum;Alkylanz;L01AC03
ZS;Carfilzomib;Carfilzomib;Kyprolis;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX45
ZS;Kyprolis;Carfilzomib;Kyprolis;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX45
CH;Carmofur;Carmofur;Mifurol;ja;Zytostatikum;Antimetabolit;L01BC04 
CH;Mifurol;Carmofur;Mifurol;ja;Zytostatikum;Antimetabolit;L01BC04 
CH;Carmustin;Carmustin;Gliadel;ja;Zytostatikum;Alkylanz;L01AD01
CH;Gliadel;Carmustin;Gliadel;ja;Zytostatikum;Alkylanz;L01AD01
IM;Catumaxomab;Catumaxomab;Removab;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC09
IM;Removab;Catumaxomab;Removab;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC09
SO;Cefuroxim;Cefuroxim;;nein;Nicht supportiv;Antibiotika;S01AA27
IM;Cemiplimab;Cemiplimab;LIBTAYO;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC33
IM;LIBTAYO;Cemiplimab;LIBTAYO;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC33
ZS;Ceritinib;Ceritinib;Zykadia;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE28
ZS;Zykadia;Ceritinib;Zykadia;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE28
IM;Certolizumab pegol;Certolizumab pegol;Cimzia;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB05
IM;Cimzia;Certolizumab pegol;Cimzia;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB05
HO;Cetrorelix;Cetrorelix;Cetrotide;nein;Endokrine Therapie;GnRH-Analogon;H01CC02
HO;Cetrotide;Cetrorelix;Cetrotide;nein;Endokrine Therapie;GnRH-Analogon;H01CC02
IM;Cetuximab;Cetuximab;Erbitux;ja;Anderes antineoplastisches Mittel;Antikörper, Proteinkinase-Inhibitor;L01XC06
IM;Erbitux;Cetuximab;Erbitux;ja;Anderes antineoplastisches Mittel;Antikörper, Proteinkinase-Inhibitor;L01XC06
CH;Chlorambucil;Chlorambucil;Leukeran;ja;Zytostatikum;Alkylanz;L01AA02
CH;Leukeran;Chlorambucil;Leukeran;ja;Zytostatikum;Alkylanz;L01AA02
HO;Balanca;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Belara;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Bellissima;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Chantal;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Chariva;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Chlormadinon;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Enriqa;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Esticia;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Eufem;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Lilia;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Madinette;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Minette;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Mona Hexal;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Neo Eunomin;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
HO;Pink Luna;Chlormadinon;Balanca, Belara, Bellissima, Chantal, Chariva, Esticia, Enriqa, Eufem, Lilia, Madinette, Minette, Mona Hexal, Neo Eunomin, Pink Luna;nein;Supportiv;Sonstige endokrine Therapie;G03DB06
CH;Chlormethin;Chlormethin;Ledaga;ja;Zytostatikum;Alkylanz;L01AA05
CH;Ledaga;Chlormethin;Ledaga;ja;Zytostatikum;Alkylanz;L01AA05
SO;Cicloral;Ciclosporin;Cicloral, Immunosporin,Sandimmun Optoral, Cyclosporin;nein;Supportiv;Sonstiges Supportivum;L04AD01
SO;Ciclosporin;Ciclosporin;Cicloral, Immunosporin,Sandimmun Optoral, Cyclosporin;nein;Supportiv;Sonstiges Supportivum;L04AD01
SO;Cyclosporin;Ciclosporin;Cicloral, Immunosporin,Sandimmun Optoral, Cyclosporin;nein;Supportiv;Sonstiges Supportivum;L04AD01
SO;Immunosporin;Ciclosporin;Cicloral, Immunosporin,Sandimmun Optoral, Cyclosporin;nein;Supportiv;Sonstiges Supportivum;L04AD01
SO;Sandimmun Optoral;Ciclosporin;Cicloral, Immunosporin,Sandimmun Optoral, Cyclosporin;nein;Supportiv;Sonstiges Supportivum;L04AD01
ZS;Cilengitide;Cilengitide;;ja;;;
SO;Ciprofloxacin;Ciprofloxacin;Ofloxacin;nein;Nicht supportiv;Antibiotika;S01AE03
SO;Ofloxacin;Ciprofloxacin;Ofloxacin;nein;Nicht supportiv;Antibiotika;S01AE03
CH; Platinol;Cisplatin;Cis-GRY, Platiblastin, Platinol;ja;Zytostatikum;Platin-haltige Verbindung;L01XA01
CH;Cis-GRY;Cisplatin;Cis-GRY, Platiblastin, Platinol;ja;Zytostatikum;Platin-haltige Verbindung;L01XA01
CH;Cisplatin;Cisplatin;Cis-GRY, Platiblastin, Platinol;ja;Zytostatikum;Platin-haltige Verbindung;L01XA01
CH;Platiblastin;Cisplatin;Cis-GRY, Platiblastin, Platinol;ja;Zytostatikum;Platin-haltige Verbindung;L01XA01
CH;Cladribin;Cladribin;Litak, Leustatin, Mavenclad, Movectro;ja;Zytostatikum;Antimetabolit;L04AA40
CH;Leustatin;Cladribin;Litak, Leustatin, Mavenclad, Movectro;ja;Zytostatikum;Antimetabolit;L04AA40
CH;Litak;Cladribin;Litak, Leustatin, Mavenclad, Movectro;ja;Zytostatikum;Antimetabolit;L04AA40
CH;Mavenclad;Cladribin;Litak, Leustatin, Mavenclad, Movectro;ja;Zytostatikum;Antimetabolit;L04AA40
CH;Movectro;Cladribin;Litak, Leustatin, Mavenclad, Movectro;ja;Zytostatikum;Antimetabolit;L04AA40
SO;Bonefos;Clodronsäure;Ostac, Bonefos, Sindronat, Clodron Hexal, Clodron beta;nein;Supportiv;Bisphosphonat;M05BA02
SO;Clodron beta;Clodronsäure;Ostac, Bonefos, Sindronat, Clodron Hexal, Clodron beta;nein;Supportiv;Bisphosphonat;M05BA02
SO;Clodron Hexal;Clodronsäure;Ostac, Bonefos, Sindronat, Clodron Hexal, Clodron beta;nein;Supportiv;Bisphosphonat;M05BA02
SO;Clodronsäure;Clodronsäure;Ostac, Bonefos, Sindronat, Clodron Hexal, Clodron beta;nein;Supportiv;Bisphosphonat;M05BA02
SO;Ostac;Clodronsäure;Ostac, Bonefos, Sindronat, Clodron Hexal, Clodron beta;nein;Supportiv;Bisphosphonat;M05BA02
SO;Sindronat;Clodronsäure;Ostac, Bonefos, Sindronat, Clodron Hexal, Clodron beta;nein;Supportiv;Bisphosphonat;M05BA02
CH;Clofarabin;Clofarabin;Evoltra;ja;Zytostatikum;Antimetabolit;L01BB06
CH;Evoltra;Clofarabin;Evoltra;ja;Zytostatikum;Antimetabolit;L01BB06
ZS;Cobimetinib;Cobimetinib;Cotellic;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE38
ZS;Cotellic;Cobimetinib;Cotellic;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE38
ZS;Aliqopa;Copanlisib;Aliqopa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EM02
ZS;Copanlisib;Copanlisib;Aliqopa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EM02
IM;CAVATAK;Coxsackievirus A21;CAVATAK;ja;Anderes antineoplastisches Mittel;;
IM;Coxsackievirus A21;Coxsackievirus A21;CAVATAK;ja;Anderes antineoplastisches Mittel;;
ZS;Crenolanib;Crenolanib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
ZS;Crizotinib;Crizotinib;Xalkori;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE16
ZS;Xalkori;Crizotinib;Xalkori;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE16
CH;Cyclophosphamid;Cyclophosphamid;Endoxan;ja;Zytostatikum;Alkylanz;L01AA01
CH;Endoxan;Cyclophosphamid;Endoxan;ja;Zytostatikum;Alkylanz;L01AA01
HO;Androcur;Cyproteron;Androcur, Cyprostat, Virilit, Cyproteronacetat;ja;Endokrine Therapie;Antiandrogen;G03HA01
HO;Cyprostat;Cyproteron;Androcur, Cyprostat, Virilit, Cyproteronacetat;ja;Endokrine Therapie;Antiandrogen;G03HA01
HO;Cyproteron;Cyproteron;Androcur, Cyprostat, Virilit, Cyproteronacetat;ja;Endokrine Therapie;Antiandrogen;G03HA01
HO;Cyproteronacetat;Cyproteron;Androcur, Cyprostat, Virilit, Cyproteronacetat;ja;Endokrine Therapie;Antiandrogen;G03HA01
HO;Virilit;Cyproteron;Androcur, Cyprostat, Virilit, Cyproteronacetat;ja;Endokrine Therapie;Antiandrogen;G03HA01
CH;Cytosar;Cytarabin;Cytosar, Alexan, ARA-cell, AraC;ja;Zytostatikum;Antimetabolit;L01BC01
CH;Alexan;Cytarabin;Cytosar, Alexan, ARA-cell, AraC;ja;Zytostatikum;Antimetabolit;L01BC01
CH;AraC;Cytarabin;Cytosar, Alexan, ARA-cell, AraC;ja;Zytostatikum;Antimetabolit;L01BC01
CH;ARA-cell;Cytarabin;Cytosar, Alexan, ARA-cell, AraC;ja;Zytostatikum;Antimetabolit;L01BC01
CH;Cytarabin;Cytarabin;Cytosar, Alexan, ARA-cell, AraC;ja;Zytostatikum;Antimetabolit;L01BC01
CH;Cytarabin liposomal;Cytarabin liposomal;Depocyte, L-ARA;ja;Zytostatikum;Antimetabolit;L01BC01
CH;Depocyte;Cytarabin liposomal;Depocyte, L-ARA;ja;Zytostatikum;Antimetabolit;L01BC01
CH;L-ARA;Cytarabin liposomal;Depocyte, L-ARA;ja;Zytostatikum;Antimetabolit;L01BC01
ZS;Dabrafenib;Dabrafenib;Tafinlar;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE23
ZS;Tafinlar;Dabrafenib;Tafinlar;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE23
CH;Dacarbazin;Dacarbazin;Detimedac, Dacin;ja;Zytostatikum;Alkylanz;L01AX04
CH;Dacin;Dacarbazin;Detimedac, Dacin;ja;Zytostatikum;Alkylanz;L01AX04
CH;Detimedac;Dacarbazin;Detimedac, Dacin;ja;Zytostatikum;Alkylanz;L01AX04
IM;Daclizumab;Daclizumab;Zinbryta, Zenapax;ja;Immunmodulator;Antikörper;L04AC01
IM;Zenapax;Daclizumab;Zinbryta, Zenapax;ja;Immunmodulator;Antikörper;L04AC01
IM;Zinbryta;Daclizumab;Zinbryta, Zenapax;ja;Immunmodulator;Antikörper;L04AC01
CH;Actinomycin-D;Dactinomycin;Lyoac-Cosmegen, Actinomycin-D;ja;Zytostatikum;Anthrazyklin;L01DA01
CH;Dactinomycin;Dactinomycin;Lyoac-Cosmegen, Actinomycin-D;ja;Zytostatikum;Anthrazyklin;L01DA01
CH;Lyoac-Cosmegen;Dactinomycin;Lyoac-Cosmegen, Actinomycin-D;ja;Zytostatikum;Anthrazyklin;L01DA01
IM;Daratumumab;Daratumumab;Darzalex;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC24
IM;Darzalex;Daratumumab;Darzalex;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC24
SO;Aranesp;Darbepoetin alfa;Aranesp;nein;Supportiv;Sonstiges Supportivum;B03XA02
SO;Darbepoetin alfa;Darbepoetin alfa;Aranesp;nein;Supportiv;Sonstiges Supportivum;B03XA02
HO;Darolutamid;Darolutamid;;ja;Endokrine Therapie;Antiandrogen;L02BB06
ZS;Dasatinib;Dasatinib;Sprycel;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE06
ZS;Sprycel;Dasatinib;Sprycel;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE06
CH;Daunoblastin;Daunorubicin;Daunoblastin, Rubidomycin;ja;Zytostatikum;Anthrazyklin;L01DB02
CH;Daunorubicin;Daunorubicin;Daunoblastin, Rubidomycin;ja;Zytostatikum;Anthrazyklin;L01DB02
CH;Rubidomycin;Daunorubicin;Daunoblastin, Rubidomycin;ja;Zytostatikum;Anthrazyklin;L01DB02
CH;Daunorubicin liposomal;Daunorubicin liposomal;DaunoXome, Vyxeos;ja;Zytostatikum;Anthrazyklin;L01DB02
CH;DaunoXome;Daunorubicin liposomal;DaunoXome, Vyxeos;ja;Zytostatikum;Anthrazyklin;L01DB02
CH;Vyxeos;Daunorubicin liposomal;DaunoXome, Vyxeos;ja;Zytostatikum;Anthrazyklin;L01DB02
CH;Dacogen;Decitabin;Dacogen;ja;Zytostatikum;Antimetabolit;L01BC08
CH;Decitabin;Decitabin;Dacogen;ja;Zytostatikum;Antimetabolit;L01BC08
SO;Deferasirox;Deferasirox;Exjade;nein;Supportiv;Sonstiges Supportivum;V03AC03
SO;Exjade;Deferasirox;Exjade;nein;Supportiv;Sonstiges Supportivum;V03AC03
SO;Defibrotid;Defibrotid;Defitelio;nein;Supportiv;Sonstiges Supportivum;B01AX01
SO;Defitelio;Defibrotid;Defitelio;nein;Supportiv;Sonstiges Supportivum;B01AX01
HO;Degarelix;Degarelix;Firmagon;ja;Endokrine Therapie;GnRH-Analogon;L02BX02
HO;Firmagon;Degarelix;Firmagon;ja;Endokrine Therapie;GnRH-Analogon;L02BX02
CH;Cocemid;Demecolcin;Cocemid;ja;Zytostatikum;Anthrazyklin;L01CC01
CH;Demecolcin;Demecolcin;Cocemid;ja;Zytostatikum;Anthrazyklin;L01CC01
