Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
ZS;Caprelsa;Vandetanib;Caprelsa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE12
ZS;Vandetanib;Vandetanib;Caprelsa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE12
ZS;Veliparib;Veliparib;;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
ZS;Vemurafenib;Vemurafenib;Zelboraf;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE15
ZS;Zelboraf;Vemurafenib;Zelboraf;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE15
ZS;Venclyxto;Venetoclax;Venclyxto;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX52
ZS;Venetoclax;Venetoclax;Venclyxto;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX52
CH;Vinblastin;Vinblastin;Vinblastinsulfat Teva;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA01
CH;Vinblastinsulfat Teva;Vinblastin;Vinblastinsulfat Teva;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA01
CH;Vincristin;Vincristin;Vincristinsulfat-TEVA;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA02
CH;Vincristinsulfat-TEVA;Vincristin;Vincristinsulfat-TEVA;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA02
CH;Eldisine;Vindesin;Eldisine;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA03
CH;Vindesin;Vindesin;Eldisine;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA03
CH;Javlor;Vinflunin;Javlor;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA05
CH;Vinflunin;Vinflunin;Javlor;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA05
CH;Bendarelbin;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
CH;Navelbine;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
CH;Navirel;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
CH;Vinorelbin;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
CH;vinorelbin arie;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
CH;Vinorelbin onkovis;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
CH;Vinorelbin-HAEMATO;Vinorelbin;Bendarelbin, Navelbine, Navirel, vinorelbin arie, Vinorelbin-HAEMATO, Vinorelbin onkovis;ja;Zytostatikum;Mitosespindelgift (Vinca-Alkaloid);L01CA04
ZS;Erivedge;Vismodegib;Erivedge;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX43
ZS;Vismodegib;Vismodegib;Erivedge;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX43
IM;Voclosporin;Voclosporin;;nein;Supportiv;Sonstiges Supportivum;L04AD03
ZS;Volasertib;Volasertib;;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
ZS;Vorinostat;Vorinostat;Zolinza;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX38
ZS;Zolinza;Vorinostat;Zolinza;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX38
HO;Rizivor;Vorozol;Rizivor;ja;Endokrine Therapie;Aromatasehemmer;L02BG05
HO;Vorozol;Vorozol;Rizivor;ja;Endokrine Therapie;Aromatasehemmer;L02BG05
ZS;BGB-3111;Zanubrutinib;Brukinsa, BGB-3111;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EL03
ZS;Brukinsa;Zanubrutinib;Brukinsa, BGB-3111;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EL03
ZS;Zanubrutinib;Zanubrutinib;Brukinsa, BGB-3111;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EL03
SO;Aclasta;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;Ribometa;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
SO;STEOZOL;Zoledronsäure;Aclasta, Ribometa, STEOZOL, Zoledronsäure Fresenius Kabi, Zoledronsäure-hameln, Zoledronsäure IBIGEN, Zoledronsäure medac, Zoledronsäure Mylan, Zoledronsäure onkovis, Zoledronsäure Teva, Zoledron-Uropharm, Zometa, Zoledronat;nein;Supportiv;Bisphosphonat;M05BA08
